nrg_bal;unit;geo;Geopolitical entity (reporting);TIME_PERIOD;OBS_VALUE
AFC;KTOE;AL;Albania;2004;2020.840
AFC;KTOE;AL;Albania;2005;1997.634
AFC;KTOE;AL;Albania;2006;1760.406
AFC;KTOE;AL;Albania;2007;1699.183
AFC;KTOE;AL;Albania;2008;1830.198
AFC;KTOE;AL;Albania;2009;1970.350
AFC;KTOE;AL;Albania;2010;2005.634
AFC;KTOE;AL;Albania;2011;2001.536
AFC;KTOE;AL;Albania;2012;1805.715
AFC;KTOE;AL;Albania;2013;2117.221
AFC;KTOE;AL;Albania;2014;2151.923
AFC;KTOE;AL;Albania;2015;2044.087
AFC;KTOE;AL;Albania;2016;2006.921
AFC;KTOE;AL;Albania;2017;2117.683
AFC;KTOE;AL;Albania;2018;2151.989
AFC;KTOE;AL;Albania;2019;2101.420
AFC;KTOE;AL;Albania;2020;1988.835
AFC;KTOE;AL;Albania;2021;2053.073
AFC;KTOE;AL;Albania;2022;1994.774
AFC;KTOE;AL;Albania;2023;1944.418
AFC;KTOE;AT;Austria;2004;26806.511
AFC;KTOE;AT;Austria;2005;27342.453
AFC;KTOE;AT;Austria;2006;27769.393
AFC;KTOE;AT;Austria;2007;27136.885
AFC;KTOE;AT;Austria;2008;27165.093
AFC;KTOE;AT;Austria;2009;26522.384
AFC;KTOE;AT;Austria;2010;27768.930
AFC;KTOE;AT;Austria;2011;26761.826
AFC;KTOE;AT;Austria;2012;27055.068
AFC;KTOE;AT;Austria;2013;27626.391
AFC;KTOE;AT;Austria;2014;26642.594
AFC;KTOE;AT;Austria;2015;27278.875
AFC;KTOE;AT;Austria;2016;27964.856
AFC;KTOE;AT;Austria;2017;28186.935
AFC;KTOE;AT;Austria;2018;27892.290
AFC;KTOE;AT;Austria;2019;28339.587
AFC;KTOE;AT;Austria;2020;27093.933
AFC;KTOE;AT;Austria;2021;28593.994
AFC;KTOE;AT;Austria;2022;26937.705
AFC;KTOE;AT;Austria;2023;26026.656
AFC;KTOE;BA;Bosnia and Herzegovina;2014;3257.588
AFC;KTOE;BA;Bosnia and Herzegovina;2015;3477.804
AFC;KTOE;BA;Bosnia and Herzegovina;2016;3622.705
AFC;KTOE;BA;Bosnia and Herzegovina;2017;3565.146
AFC;KTOE;BA;Bosnia and Herzegovina;2018;4311.445
AFC;KTOE;BA;Bosnia and Herzegovina;2019;4294.325
AFC;KTOE;BA;Bosnia and Herzegovina;2020;4129.598
AFC;KTOE;BA;Bosnia and Herzegovina;2021;4396.554
AFC;KTOE;BA;Bosnia and Herzegovina;2022;4384.844
AFC;KTOE;BA;Bosnia and Herzegovina;2023;4235.927
AFC;KTOE;BE;Belgium;2004;42120.703
AFC;KTOE;BE;Belgium;2005;41622.613
AFC;KTOE;BE;Belgium;2006;40286.971
AFC;KTOE;BE;Belgium;2007;38804.551
AFC;KTOE;BE;Belgium;2008;41696.261
AFC;KTOE;BE;Belgium;2009;39787.384
AFC;KTOE;BE;Belgium;2010;42983.415
AFC;KTOE;BE;Belgium;2011;39617.581
AFC;KTOE;BE;Belgium;2012;39175.135
AFC;KTOE;BE;Belgium;2013;41361.594
AFC;KTOE;BE;Belgium;2014;39728.547
AFC;KTOE;BE;Belgium;2015;40975.576
AFC;KTOE;BE;Belgium;2016;40922.957
AFC;KTOE;BE;Belgium;2017;40674.916
