country;year;co2;co2_per_capita;primary_energy_consumption;population;gdp;annual_co2_tonnes;energy_available_final_consumption_ktoe;gross_available_energy_ktoe;net_energy_supply_ktoe;renewables_share_pct;public_rd_investment;private_rd_investment;clean_energy_patents
Austria;2004;77.694;9.506;422.457;8173494.0;303692480512.0;77715920.0;26806.511;33098.782;32507.505;22.553;33.534;174.0381592;43.446322543
Austria;2005;79.092;9.611;431.35;8229204.0;311441129472.0;79095480.0;27342.453;34402.13;33735.641;24.353;33.6;293.6932648;61.847107322999996
Austria;2006;76.812;9.288;425.865;8269902.0;323236888576.0;76796200.0;27769.393;34712.085;34018.889;26.276;42.399;267.2387971;62.970266086
Austria;2007;74.112;8.932;420.066;8296949.0;336303980544.0;74092160.0;27136.885;34120.399;33384.038;28.144;31.886;369.3527196;97.257773146
Austria;2008;73.49;8.829;424.56;8323250.0;342892511232.0;73466480.0;27165.093;34391.508;33654.856;28.788;71.167;341.98227860000003;94.42288051700001
Austria;2009;67.307;8.065;409.772;8345072.0;331119034368.0;67301760.0;26522.384;32651.028;32012.06;31.039;92.27;538.5588123;121.384269753
Austria;2010;72.008;8.608;421.558;8365087.0;338832261120.0;72000250.0;27768.93;34854.184;34165.928;31.205;120.979;983.2804089999998;142.00736040500001
Austria;2011;69.901;8.328;395.869;8393272.0;349713465344.0;69891710.0;26761.826;33840.088;33120.811;31.552;120.823;672.6891025;146.712886322
Austria;2012;67.274;7.979;414.402;8431598.0;352093110272.0;67260344.0;27055.068;33740.804;33041.368;32.734;120.101;954.0398582;213.976737252
Austria;2013;67.767;7.99;410.852;8481411.0;352182894592.0;67758860.0;27626.391;34136.106;33467.556;32.665;124.555;781.9219515;208.48042789500002
Austria;2014;64.166;7.507;394.889;8547812.0;354511814656.0;64158736.0;26642.594;32938.236;32270.341;33.55;143.097;770.982999;232.579202062
Austria;2015;66.357;7.677;396.383;8644037.0;358108266496.0;66357780.0;27278.875;33741.875;33027.98;33.497;128.41400000000002;758.843221;196.184415468
Austria;2016;67.217;7.693;409.651;8737920.0;365232717824.0;67218740.0;27964.856;34209.391;33429.285;33.37;140.893;540.268869;144.240873906
Austria;2017;69.598;7.91;417.569;8798780.0;373481668608.0;69601480.0;28186.935;34824.866;34070.053;33.136;139.335;539.14658;0.0
Austria;2018;66.562;7.528;408.402;8841652.0;382540021760.0;66566510.0;27892.29;34028.126;33184.811;33.784;144.061;0.0;0.0
Austria;2019;67.946;7.651;427.96;8880875.0;388344676352.0;67951230.0;28339.587;34782.999;33808.518;33.755;0.0;0.0;0.0
Austria;2020;62.176;6.969;400.144;8921402.0;363281088512.0;62179828.0;27093.933;32303.729;31971.269;36.545;0.0;0.0;0.0
Austria;2021;65.757;7.333;406.033;8967053.0;379835219968.0;65751344.0;28593.994;34170.475;33753.843;34.643;;;
Austria;2022;61.489;6.783;379.769;9064679.0;398815395840.0;61454140.0;26937.705;32737.087;32112.497;34.057;;;
Austria;2023;58.578;6.416;384.811;9130434.0;;56908956.0;26026.656;32025.547;31151.025;41.6;;;
Belgium;2004;128.782;12.358;764.62;10421298.0;372499152896.0;128811736.0;42120.703;67378.243;58450.341;1.916;0.0;81.971097;37.939042674
Belgium;2005;125.64;11.99;756.118;10478883.0;380840050688.0;125657690.0;41622.613;66918.791;58129.446;2.325;0.0;60.964399799999995;30.744625697
Belgium;2006;123.884;11.744;758.241;10548446.0;390874955776.0;123900460.0;40286.971;66882.994;57412.59;2.658;0.0;83.597555;29.38175273
Belgium;2007;120.481;11.339;763.469;10625490.0;404721958912.0;120493400.0;38804.551;66853.035;56304.575;3.14;94.263;163.2953511;50.427211628
Belgium;2008;120.18;11.222;775.734;10709710.0;408290525184.0;120204350.0;41696.261;69018.706;58074.46;3.611;0.0;198.6950089;63.544275616
Belgium;2009;107.78;9.968;715.849;10812936.0;399489957888.0;107806790.0;39787.384;63630.864;55350.647;4.746;0.0;261.6441691;79.792380303
Belgium;2010;114.49;10.468;764.721;10936620.0;411261698048.0;114562660.0;42983.415;68269.487;59297.754;6.004;56.086;282.357673;84.319353766
Belgium;2011;105.098;9.521;713.592;11038627.0;420934221824.0;105158970.0;39617.581;63388.112;55177.125;6.302;150.846;250.3260563;93.606378667
Belgium;2012;102.435;9.222;684.924;11107524.0;424045838336.0;102486240.0;39175.135;60382.375;52993.133;7.086;210.797;224.56712420000002;114.28888042599999
Belgium;2013;102.762;9.208;701.93;11160277.0;425993273344.0;102815960.0;41361.594;62641.588;55212.25;7.671;194.75799999999998;164.4298921;84.915645799
Belgium;2014;97.034;8.656;650.872;11210111.0;432717692928.0;97080950.0;39728.547;59003.446;52292.301;8.038;166.84300000000002;209.125189;82.87709111299999
