country;year;co2;co2_per_capita;primary_energy_consumption;population;gdp;annual_co2_tonnes;energy_available_final_consumption_ktoe;gross_available_energy_ktoe;net_energy_supply_ktoe;renewables_share_pct;public_rd_investment;private_rd_investment;clean_energy_patents;ghg_total_kt_co2eq;ghg_agriculture_kt_co2eq;ghg_buildings_kt_co2eq;ghg_dom_avi_kt_co2eq;ghg_dom_ship_kt_co2eq;ghg_energy_kt_co2eq;ghg_indirect_kt_co2eq;ghg_industry_kt_co2eq;ghg_transport_kt_co2eq;ghg_waste_kt_co2eq;
Austria;2004;77.69;9.51;422.46;8173494.00;303692480512.00;77715920.00;26806.51;33098.78;32507.51;22.55;33.53;174.04;43.45;95934.27;7590.540297210364;14426.29;105.35;53.87;18082.39125181075;327.7362367256247;27618.42225697439;23977.10199762448;3752.571558355759;
Austria;2005;79.09;9.61;431.35;8229204.00;311441129472.00;79095480.00;27342.45;34402.13;33735.64;24.35;33.60;293.69;61.85;96426.71;7464.55;14068.22182082624;106.54;53.95;18500.27910083277;334.4021980799577;27641.481047143803;24675.93022412445;3581.354022781048;
Austria;2006;76.81;9.29;425.87;8269902.00;323236888576.00;76796200.00;27769.39;34712.09;34018.89;26.28;42.40;267.24;62.97;93988.56;7491.985615736713;13751.00548844785;112.00;56.61;17527.64741965741;318.0115754027263;27798.58;23501.18;3431.5495736886587;
Austria;2007;74.11;8.93;420.07;8296949.00;336303980544.00;74092160.00;27136.89;34120.40;33384.04;28.14;31.89;369.35;97.26;91004.82;7484.711304455832;11780.96258176248;114.45;55.39;16493.54484236393;305.74211949631103;27773.40609178261;23685.24214874798;3311.38;
Austria;2008;73.49;8.83;424.56;8323250.00;342892511232.00;73466480.00;27165.09;34391.51;33654.86;28.79;71.17;341.98227860000003;94.42;90597.59;7474.865334041671;12132.14107236364;112.13;54.06;15882.14159591525;288.2240850146805;28811.007910767188;22641.82877551317;3201.195760930189;
Austria;2009;67.31;8.07;409.77;8345072.00;331119034368.00;67301760.00;26522.38;32651.03;32012.06;31.04;92.27;538.56;121.38;82997.01;7449.397465759735;11222.31680557541;109.45;55.58;14507.68509136681;265.85859750188547;24584.829340048767;21797.746480473288;3004.143287390927;
Austria;2010;72.01;8.61;421.56;8365087.00;338832261120.00;72000250.00;27768.93;34854.18;34165.93;31.21;120.98;983.2804089999998;142.01;89121.05;7648.560373590333;11509.39;106.11;57.05;17121.39939378425;266.5947066850868;26921.09774441355;22612.61762857998;2878.23;
Austria;2011;69.90;8.33;395.87;8393272.00;349713465344.00;69891710.00;26761.83;33840.09;33120.81;31.55;120.82;672.69;146.71;87329.96;7672.74;10198.07165947323;105.00;61.12;16850.38500160154;244.50948440627585;27690.82639495488;21792.26102777379;2715.04;
Austria;2012;67.27;7.98;414.40;8431598.00;352093110272.00;67260344.00;27055.07;33740.80;33041.37;32.73;120.10;954.04;213.98;83977.44;7542.045055299049;9816.61;98.58;56.05;15013.20490531653;234.8956117223807;26918.43;21739.51743217446;2558.105337274102;
Austria;2013;67.77;7.99;410.85;8481411.00;352182894592.00;67758860.00;27626.39;34136.11;33467.56;32.67;124.56;781.92;208.48;84490.33;7574.102864453212;10093.99023868196;98.01;59.39;14330.27221355343;237.6378991462013;26484.655801061683;23205.95423054516;2406.312441190903;
