Unit of measure;airpol;Air pollutants and greenhouse gases;src_crf;Source sectors for greenhouse gas emissions (Common reporting format, UNFCCC);TIME_PERIOD;Time;OBS_VALUE
Million tonnes;CH4;Methane;CRF1;Energy;2004;;0.01865
Million tonnes;CH4;Methane;CRF1;Energy;2005;;0.01791
Million tonnes;CH4;Methane;CRF1;Energy;2006;;0.01728
Million tonnes;CH4;Methane;CRF1;Energy;2007;;0.01676
Million tonnes;CH4;Methane;CRF1;Energy;2008;;0.0163
Million tonnes;CH4;Methane;CRF1;Energy;2009;;0.01585
Million tonnes;CH4;Methane;CRF1;Energy;2010;;0.01546
Million tonnes;CH4;Methane;CRF1;Energy;2011;;0.01562
Million tonnes;CH4;Methane;CRF1;Energy;2012;;0.01536
Million tonnes;CH4;Methane;CRF1;Energy;2013;;0.01538
Million tonnes;CH4;Methane;CRF1;Energy;2014;;0.01509
Million tonnes;CH4;Methane;CRF1;Energy;2015;;0.0151
Million tonnes;CH4;Methane;CRF1;Energy;2016;;0.01492
Million tonnes;CH4;Methane;CRF1;Energy;2017;;0.01498
Million tonnes;CH4;Methane;CRF1;Energy;2018;;0.01488
Million tonnes;CH4;Methane;CRF1;Energy;2019;;0.01473
Million tonnes;CH4;Methane;CRF1;Energy;2020;;0.01451
Million tonnes;CH4;Methane;CRF1;Energy;2021;;0.01481
Million tonnes;CH4;Methane;CRF1;Energy;2022;;0.01495
Million tonnes;CH4;Methane;CRF1;Energy;2023;;0.0146
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2004;;0.01628
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2005;;0.01557
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2006;;0.01489
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2007;;0.01428
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2008;;0.01369
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2009;;0.01327
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2010;;0.01273
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2011;;0.01294
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2012;;0.01265
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2013;;0.01269
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2014;;0.01251
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2015;;0.01239
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2016;;0.01225
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2017;;0.01219
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2018;;0.01206
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2019;;0.01191
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2020;;0.01178
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2021;;0.01202
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2022;;0.01224
Million tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2023;;0.01197
Million tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2004;;0.00058
Million tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2005;;0.00064
Million tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2006;;0.00059
Million tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2007;;0.00055
