country;year;action;priority;public_ri_investment;private_ri_investment;inventions;public_ri_investment_eu_share;private_ri_investment_eu_share;inventions_eu_share;specialisation_index_inventions
Austria;2004;Renewable energy technologies;Number 1 in Renewables;2,348;21,133542;5,433574725;0,012175261;0,017733582;0,01337816;-0,322004068
Austria;2004;Smart solutions for consumers;Smart systems;1,434;32,930149;10,74969484;0,050447885;0,028238405;0,024364696;0,23478602
Austria;2004;Integrated & flexible energy system;Smart systems;10,936;7,77511;2,612179488;0,022532573;0,021426521;0,016978684;-0,139531962
Austria;2004;Energy efficiency in buildings;Energy efficiency;1,434;2,28133;0,925213665;0,050447799;0,013641972;0,013119272;-0,335124303
Austria;2004;Energy efficiency in industry;Energy efficiency;1,664;24,4627746;6,749139626;0,026736198;0,012622657;0,011738256;-0,405113244
Austria;2004;Batteries & e-mobility;Sustainable transport;;60,1643766;9,463699709;;0,111088168;0,046951634;1,379476517
Austria;2004;Renewable fuels & bioenergy;Sustainable transport;12,489;23,170185;7,166666664;0,062281561;0,026532069;0,025697089;0,302310818
Austria;2004;CCUS;CCUS;0;;0;0;;0;0
Austria;2004;Nuclear safety;Nuclear safety;3,229;2,120692;0,346153826;0,003785426;0,012029296;0,010349105;-0,47551448
Austria;2005;Renewable energy technologies;Number 1 in Renewables;2,663;33,86814;10,43694863;0,009927071;0,020603303;0,02363124;-0,06314958
Austria;2005;Smart solutions for consumers;Smart systems;3,3865;35,126642;13,52639634;0,082298341;0,031633751;0,028866194;0,144387959
Austria;2005;Integrated & flexible energy system;Smart systems;6,464;12,208247;3,912500031;0,013642255;0,027375522;0,023175057;-0,081234738
Austria;2005;Energy efficiency in buildings;Energy efficiency;1,7055;15,368896;3,69758456;0,042092333;0,0387492;0,030230249;0,19846532
Austria;2005;Energy efficiency in industry;Energy efficiency;2,166;41,3886518;12,95651538;0,025331994;0,020671079;0,021517619;-0,146943163
Austria;2005;Batteries & e-mobility;Sustainable transport;;65,5979;3,061904743;;0,08658604;0,012959593;-0,486222449
Austria;2005;Renewable fuels & bioenergy;Sustainable transport;13,862;66,848388;12,15087309;0,052104993;0,056176742;0,036884205;0,462258585
Austria;2005;CCUS;CCUS;0,019;;0;0,000631079;;0;0
Austria;2005;Nuclear safety;Nuclear safety;3,334;23,2864;2,104384549;0,003898109;0,074965542;0,059684264;1,36615718
