title;description;status;year;jurisdiction;source;datePromulgated;yearEnded;learnMore;learnMoreLanguage;dateModified;countries;states;technologies;tags;policyType
Management Regulation of Energy Consumption in Transport (RGCEST);The Management Regulation of Energy Consumption (RGCE) was introduced in 1982 and targeted mainly the industrial sector. The specificity of the transport sector, namely the variability of factors that influence energy consumption, demonstrated the need for property regulation in this sector. This led to the development of the Management Regulations of Energy Consumption in Transport (RGCEST), approved in 1990 but only introduced in January of 1991. The RGCEST applies to transport companies, as well as companies that have their own fleets with annual energy consumption higher than 500 toe. It establishes goals for the progressive reduction of specific energy consumption. Under the scheme companies are required to carry out an energy audit in a 3-year period and both set-up and implement an energy consumption rationalization plan (PRCE) for the subsequent years. In order to monitor the PRCE, companies must submit annual reports, and all elements of the plan have to be presented to the Directorate General for Energy and Geology for approval.;In force;1991;National;International Energy Agency;;;http://www.dgeg.pt;Portuguese;1,50987E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];[];[];[]
State vehicle park procurement rules: Fleet renewal and CO2 emission limits;"On 12 March 2009, the Portuguese Ministries of Finance and Environment announced the implementation of Decree Law No. 170/2008 of 26 August 2008, creating a centralised management system for the State Vehicle Fleet. Among other elements, the new regime places CO2 emission limits on 90% of new vehicles purchased by the government. For 2009, 20% of new vehicles purchased must emit below 120gCO2/km, and another 70% have a limit of 140gCO2/km. The criteria will become progressively more stringent between 2009 and 2012; the percentage of cars meeting the lower emission limit will increase from 20% to 50%, and the emission limit tightened from 120 to 100gCO2/km in 2012. In addition, the new regime requires a renewal of the State vehicle fleet, requiring that an existing vehicle be scrapped from the fleet each time a new vehicle is purchased. The existing fleet in 2009 comprised approximately 27 500 vehicles, averaging 11 years of age.";In force;2009;National;International Energy Agency;;;http://www.portugal.gov.pt;;1,50987E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Commercial vehicles"",""Road vehicles"",""Transport technologies"",""Medium duty vehicles, small trucks and minibuses""]";[];[]
Regulations on HVAC Systems in Buildings ;"Portugal legislated new efficiency Regulation on Heating, Ventilation and Air Conditioning (HVAC) Systems in Buildings in 2006, revising the national RSECE building code of 1998. Such revision complemented the Portuguese implementation of EU Directive 2002/91/CE on the Energy Performance of Buildings. The 2006 revisions establish strict standards for: - HVACs energy use; enumerating energy consumption limits in utilities of large buildings. - indoor air quality; assuring a reference indoor air renovation rate (legally fixed) and limiting the pollutant concentrations inside the buildings. - HVAC units design; limiting the installed power on HVAC systems and establishing a number of energy efficiency requirements on the design of new HVAC systems. - maintenance; mandating the performance of energy audits, every six years, to large utility buildings and of periodic inspections to boilers and air conditioning systems. Energy units and equipment must have preventive maintenance plans. Compliance with RSECE 2006 version is mandatory whenever a permit is requested for building a new or renovating an existing building. In addition to the above, the Regulations on Thermal Behaviour of Buildings (RCCTE) define the requirements for new residential and small service buildings without HVAC systems, namely in terms of wall and floor insulation, types of glass coverings and surfaces, limiting heat loss and controlling excessive solar gains. These regulations set limits on the energy requirements for air-conditioning and hot water production, making it compulsory to install solar energy systems and favouring the use of other renewable energy sources.";In force;2006;National;International Energy Agency;;;http://www.adene.pt/pt-PT/Subportais/SCE;;1,50987E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Heating, cooling and climate control technologies"",""Space, water and process heating technologies"",""Space cooling""]";"[""GABC - Systems""]";[]
Energy Efficiency Requirements for Appliances;Efficiency labelling has been in force since 1994, by the Decree-Law No. 41/94 of 11 February 1994. This Framework Decree-Law encourages producers to manufacture and consumers to purchase more energy-efficient appliances. Order Nos. 1139/94 of 22 December 1994, 116/96 of 13 April 1996, 279/97 of 28 April 1997 and 117/96 of 15 April 1996 applied to refrigerators, washing machines, dryers and washer-dryers, respectively. Manufacturers support the costs of the test procedures and labelling systems. The EU Directive on energy efficiency standards for refrigerators and freezers was adopted in 1994. A Minimum Efficiency for Heating Boilers has been in force since 1996 and sets minimum efficiency requirements for hot water boilers. In 2001, energy efficiency requirements for fluorescent lighting ballasts were adopted according to EU directive.;In force;2002;National;International Energy Agency;;;http://www.dgeg.pt;;1,50987E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Appliances""]";"[""GABC - Systems""]";[]
Implementation of the EU Energy Services Directive;Decree-law 319/2009 transposes into Portuguese Law Directive 2006/32/EC of the European Parliament and the Council of 5 April, on energy end-use efficiency and energy services. It establishes the need to create conditions for promotion and development of a market for energy services and to develop measures to improve energy efficiency to consumers. In addition, the law contributes to the achievement of on overall national indicative energy saving target of 9% for 2016. It also promotes mechanisms, incentives and institutional frameworks - financial and legal - to overcome existing constraints and market failures preventing better efficiency in energy end-use through the spread of low-consumption equipments, and rationalization of energy consumption to be adopted by consumers. However Portugal, under the National Action Plan for Energy and Efficiency (PNAEE) - Efficiency Portugal 2015, has outlined a set of measures that anticipates and surpasses the target set in the Directive 2006/32/CE, as it aims for an energy saving target of close to a 10% reduction in final energy consumption by 2015.;In force;2009;National;International Energy Agency;;;https://dre.pt/application/file/483321;;1,50987E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];[];[];[]
Call 06-FEE-Nitrogen Tire Filling 2014;"This Call provides support to implement systems to fill tires with nitrogen. This measure is foreseen in the National Energy Efficiency Action Plan, framed within the ""Transports"" area, labeled ""Energy Efficiency in the Transports Program and Urban Mobility"".";Ended;2014;National;International Energy Agency;;2014;http://fee.adene.pt/Resultados/Paginas/resultadosaviso06.aspx;;1,60003E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Lightweighting, design, manufacturing"",""Transport technologies""]";[];[]
Regulation for Electric Mobility in Portugal -  taxes for  licensing;This ordinance sets the value of taxes for the licensing of electric mobilitys electricity supply, as well as the inspection tax due for periodic inspections, provided by the Article 19 of Decree-Law n ∫. 39/2010 of 26 April. Taxes charged for issuing licenses provided by the Paragraphs 1 and 4 of Article 48 from the Decree-Law n ∫. 39/2010 of April 26, are as follows (plus the VAT in force): - License supplier of electricity to the electrical mobility: 1000 - Operator license charging points: 1000 - Inspection tax for conducting periodic inspections: 200;In force;2010;National;International Energy Agency;;;http://www.mobi-e.pt;;1,50987E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Road vehicles"",""Transport technologies""]";[];[]
Portugal Green Growth Commitment 2030;"<div>In †2015 †the †Portuguese †Government †adopted †the †Green Growth †Commitment †(GGC). †This †strategy †grew †out †of the †Coalition †for †Green †Growth †launched †in †2014. The GGC †encompassed 16 †sectors, †with †over †100 †initiatives and 14 targets for 2020 and 2030.</div>

<div><strong><u>†</u></strong></div>

<div><strong><u>Goal 1 - Increase ""green"" GVA</u></strong>: From 1.5 billion euros in 2013 to 2.1 billion euros in 2020 and 3.4 billion euros in 2030.</div>

<div>†</div>

<div><strong><u>Goal 2 - Increase ""green"" exports:</u></strong> From 560 million euros in 2013 to 790 million euros in 2020 and 1.28 billion euros in 2030.</div>

<div>†</div>

<div><strong><u>Goal 3 - Create ""green"" jobs</u></strong>: From 75,500 jobs in 2013, to 100,400 in 2020 and 151,000 in 2030.</div>

<div>†</div>

<div><strong><u>Goal 4 - Increase productivity of materials :</u></strong> From Ä1.14 of GDP/kg materials consumed in 2013, to 1.17 in 2020 and 1.72 in 2030 (reaching the European target of 30% growth by 2030).</div>

<div>†</div>

<div><strong><u>Goal 5 - Increase the incorporation of waste into the economy:</u></strong> From 56% in 2012, to 68% in 2020 and 86% in 2030.</div>

<div>†</div>

<div><strong><u>Goal 6 - Focus on urban rehabilitation:</u></strong> Increasing rehabilitation as a share of total construction from 10.3% in 2013 to 17% in 2020 and 23% in 2030.</div>

<div>†</div>

<div><strong><u>Goal 7 - Improve energy efficiency :</u></strong> From 129 toe/ ÄM of GDP in 2013 to 122 toe/ ÄM of GDP in 2020 and 101 toe/ ÄM of GDP in 2030.</div>

<div>†</div>

<div><strong><u>Goal 8 - Improve water efficiency :</u></strong> From 35% of unbilled water in 2012 to a maximum of 25% in 2020 and 20% in 2030.</div>

<div>†</div>

<div><strong><u>Goal 9 - Increase public transport use:</u></strong> From 10.894 million pkm in 2013 to 12.528 million in 2020 and 15.296 million in 2030.</div>

<div>†</div>

<div><strong><u>Goal 10 - Reduce CO2 emissions:</u></strong> From 87.8 Mt CO2 in 2005 to 68-72 Mt CO2 in 2020 and 52.7-61.5 Mt CO2 in 2030, (contingent on the conclusions of the European negotiations).</div>

<div>†</div>

<div><strong><u>Goal 11 - Boost the share of renewable energy:</u></strong> From 25.7% of final energy consumption in 2013 to 31% in 2020 and 40% in 2030.</div>

<div>†</div>

<div><strong><u>Goal 12 - Improve the condition of bodies of water</u></strong>: From 52% with a rating of ""good"" or higher in 2010 to 79.8% in 2021 and 100% in 2027.</div>

<div>†</div>

<div><strong><u>Goal 13 - Improve air quality:</u></strong> From an average of 14 days of ""poor""ù or †""bad""ù air quality according to the Air Quality Index in 2013 to a maximum average of 9 days by 2020 and an average of 2 days by 2030.</div>

<div>†</div>

<div><strong><u>Goal 14 - Enhance biodiversity:</u></strong> From 81 species and 46 habitats with ""favourable""ù conservation status per bio-geographical region in 2012 to 96 species and 53 habitats in 2030, ensuring that</div>

<div>†</div>";In force;2015;National;International Energy Agency;;2030;http://www.crescimentoverde.gov.pt/wp-content/uploads/2014/10/CrescimentoVerde_ing_v_pq_bx.pdf;English;1,57409E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];[];[];[]
National Energy Efficiency Action Plan: Portugal Efficiency 2015;"The National Energy Efficiency Action Plan comprises a set of measures aiming at an increase in energy efficiency equivalent to about 10% of the final energy consumption, implementing the EU Energy Services Directive. The Plan is also geared towards energy demand side management and complements the PNAC, the National Climate Change Programme and PNALE, the National Allocation Plan for Emission Allowances. It covers four specific sectors: Transport, Residential and Services, Industry and State, and three cross cutting action areas: Behaviours, Taxes, Incentives and Financing. Within these areas the plan elaborates 12 action programmes covering several aspects of energy efficiency, aiming to stimulate the use of new technologies, the improvement of organisational processes and the change in behaviour and values leading to more sustainable consumption habits. The Portuguese government estimates that implementation of this plan will allow energy savings of approximately 1792 thousand tonnes of oil equivalents (toe) in 2015, which corresponds to savings of 9.8% for the reference period defined in the EU Energy Services Directive. Collectively, the measures applied to all these sectors will lead to electricity savings of 4,777 GWh in 2015, corresponding to a 7% reduction in national electricity consumption. In terms of energy intensity, the implementation of the present plan will allow Portugal to strengthen its convergence with the current European energy intensity average. Transport Sector targets and measures: -Reduce by 20% the number of light-goods vehicles over 10 years old; -Reduce average CO2 emissions for new cars sold annually by 20% (from 143 g/km in 2005 to 110g/km); -Ensure that 20% of the vehicle stock is equipped with monitoring equipment (on-board computer, GPS, cruise control, automatic verification of tyres); -Establish an innovative platform for traffic management with GPS-optimised routes; -Developing urban mobility plans for district capitals and corporate centres with over 500 workers; -Transfer 5% of individual transport modes to collective ones; -Shift 20% of international goods transported by road to maritime transport modes; -The creation of a fleet of ""green"" taxis, with low greenhouse gas emission levels. Residential and Services sectors targets and measures: -Sustainable urban rehabilitation programme, with the aim of having one in every 15 households meet an optimal energy class (greater or equal to B-); -Programme to replace 1 million large electric appliances (white goods), providing a EUR 50 bonus for the replacement with an A+ appliance and EUR 100 for an A++ appliance; old appliances must be handed over for recycling; -Phase-out of incandescent light bulbs, large-scale substitution of incandescent light bulbs with CFLs (5 million) -Simplified permits for efficient construction projects -Stimulating small-scale electricity production so as to turn 75 thousand homes into electricity producers (installed capacity of 165 MW) by 2015; -Having one in every 15 buildings equipped with solar hot water heaters. Industry targets and measures: -Establishment of agreements with industry for the rational use of energy -Creation of an Intensive Energy Consumption Management System, extended to medium-sized enterprises (with consumption over 500 toe), with fiscal incentives provided for identified energy management measures to be implemented. Public sector targets and measures: -Energy certification of all state buildings to be completed; -20% of state buildings to fall within energy performance class greater than or equal to B; -20% of the state vehicle fleet to produce CO2 emissions less than 110g/km; -Phase-out of inefficient street lighting; -20% of traffic lights to use efficient lighting (LED). Information and communication measures: -Launch of the ""Energy Plus Bonus"" to reward excellence in energy efficiency for companies, buildings, schools and others; -""Energy Efficiency Plus"" programme: an energy effi";In force;2008;National;International Energy Agency;;;http://www.dgge.pt;;1,50987E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Appliances"",""Lighting technologies""]";"[""GABC - Building Retrofits"",""GABC - Systems""]";[]
System for Energy Certification of Buildings (SCE);Approves the System for Energy Certification of Buildings (SCE) integrates the Regulation on the Energy Performance of Residential Buildings (REH) and the Regulation on the Energy Performance of Services Buildings (RECS). The system constitutes a transposition of the Directive 2010/31/EU of the European Parliament and of the Council of 19 May 2010 on the energy performance of buildings into national law.;In force;2013;National;International Energy Agency;;;http://dre.pt/pdf1sdip/2013/08/15900/0498805005.pdf;;1,50987E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];[];[];[]
