geo;TIME_PERIOD;OBS_VALUE
Albania;2004;29.62
Albania;2005;31.367
Albania;2006;32.07
Albania;2007;32.657
Albania;2008;32.448
Albania;2009;31.437
Albania;2010;31.867
Albania;2011;31.187
Albania;2012;35.152
Albania;2013;33.167
Albania;2014;31.856
Albania;2015;34.913
Albania;2016;36.953
Albania;2017;35.776
Albania;2018;36.572
Albania;2019;38.042
Albania;2020;45.015
Albania;2021;41.389
Albania;2022;44.076
Albania;2023;46.620
Albania;2024;43.111
Austria;2004;22.553
Austria;2005;24.353
Austria;2006;26.276
Austria;2007;28.144
Austria;2008;28.788
Austria;2009;31.039
Austria;2010;31.205
Austria;2011;31.552
Austria;2012;32.734
Austria;2013;32.665
Austria;2014;33.55
Austria;2015;33.497
Austria;2016;33.37
Austria;2017;33.136
Austria;2018;33.784
Austria;2019;33.755
Austria;2020;36.545
Austria;2021;34.643
Austria;2022;34.057
Austria;2023;41.600
Austria;2024;42.951
Bosnia and Herzegovina;2014;24.873
Bosnia and Herzegovina;2015;26.607
Bosnia and Herzegovina;2016;25.358
Bosnia and Herzegovina;2017;23.241
Bosnia and Herzegovina;2018;35.972
Bosnia and Herzegovina;2019;37.454
Bosnia and Herzegovina;2020;39.835
Bosnia and Herzegovina;2021;36.562
Bosnia and Herzegovina;2022;39.294
Bosnia and Herzegovina;2023;40.011
Belgium;2004;1.916
Belgium;2005;2.325
Belgium;2006;2.658
Belgium;2007;3.14
Belgium;2008;3.611
Belgium;2009;4.746
Belgium;2010;6.004
Belgium;2011;6.302
Belgium;2012;7.086
Belgium;2013;7.671
Belgium;2014;8.038
Belgium;2015;8.06
Belgium;2016;8.744
Belgium;2017;9.136
Belgium;2018;9.472
Belgium;2019;9.929
Belgium;2020;13
Belgium;2021;13.017
Belgium;2022;13.831
Belgium;2023;14.673
Belgium;2024;14.336
Bulgaria;2004;9.231
Bulgaria;2005;9.173
Bulgaria;2006;9.415
Bulgaria;2007;9.098
Bulgaria;2008;10.345
Bulgaria;2009;12.005
Bulgaria;2010;13.927
Bulgaria;2011;14.152
Bulgaria;2012;15.837
Bulgaria;2013;18.898
Bulgaria;2014;18.05
Bulgaria;2015;18.261
Bulgaria;2016;18.76
Bulgaria;2017;18.695
Bulgaria;2018;20.581
Bulgaria;2019;21.545
Bulgaria;2020;23.319
Bulgaria;2021;19.394
Bulgaria;2022;19.079
Bulgaria;2023;23.151
Bulgaria;2024;23.210
Cyprus;2004;3.071
Cyprus;2005;3.131
Cyprus;2006;3.263
Cyprus;2007;4.001
Cyprus;2008;5.131
Cyprus;2009;5.92
Cyprus;2010;6.161
Cyprus;2011;6.245
Cyprus;2012;7.111
Cyprus;2013;8.428
Cyprus;2014;9.144
Cyprus;2015;9.903
Cyprus;2016;9.833
Cyprus;2017;10.478
Cyprus;2018;13.873
Cyprus;2019;13.777
Cyprus;2020;16.879
Cyprus;2021;19.069
Cyprus;2022;19.427
Cyprus;2023;20.213
Cyprus;2024;20.844
Czechia;2004;6.773
Czechia;2005;7.113
Czechia;2006;7.362
Czechia;2007;7.895
Czechia;2008;8.674
Czechia;2009;9.977
Czechia;2010;10.513
Czechia;2011;10.945
Czechia;2012;12.814
Czechia;2013;13.927
Czechia;2014;15.074
Czechia;2015;15.07
Czechia;2016;14.926
Czechia;2017;14.799
Czechia;2018;15.139
Czechia;2019;16.239
Czechia;2020;17.303
Czechia;2021;17.614
Czechia;2022;18.123
Czechia;2023;18.555
Czechia;2024;19.211
Germany;2004;6.207
Germany;2005;7.167
Germany;2006;8.466
Germany;2007;10.039
Germany;2008;10.072
Germany;2009;10.851
Germany;2010;11.667
Germany;2011;12.47
Germany;2012;13.549
Germany;2013;13.757
Germany;2014;14.381
Germany;2015;14.901
Germany;2016;14.885
Germany;2017;15.472
Germany;2018;16.66
Germany;2019;17.266
Germany;2020;19.09
Germany;2021;19.302
Germany;2022;20.829
Germany;2023;21.512
Germany;2024;22.474
Denmark;2004;14.839
Denmark;2005;15.955
Denmark;2006;16.332
Denmark;2007;17.747
Denmark;2008;18.543
Denmark;2009;19.948
Denmark;2010;21.888
Denmark;2011;23.389
Denmark;2012;25.465
Denmark;2013;27.173
Denmark;2014;29.31
Denmark;2015;30.469
Denmark;2016;31.715
Denmark;2017;34.387
Denmark;2018;35.159
Denmark;2019;37.02
Denmark;2020;31.681
Denmark;2021;41.494
Denmark;2022;41.368
Denmark;2023;43.728
