STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2004,,19.205,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2005,,19.523,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2006,,20.792,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2007,,21.907,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2008,,22.929,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2009,,24.405,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2010,,24.15,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2011,,24.603,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2012,,24.574,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2013,,25.699,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2014,,29.508,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2015,,30.514,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2016,,30.864,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2017,,30.611,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2018,,30.203,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2019,,30.623,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2020,,33.982,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2021,,33.982,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2022,,34.675,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2023,,35.154,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,PT,Portugal,2024,,36.319,,,,,
